Id,Label,timeset,modularity_class,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality
Varsha,Varsha,,0,0,1,1,3,0.5,0.517544,0,0
Sharon,Sharon,,0,23,17,40,2,0.947368,0.972222,403,1
Akshay Subramaniam,Akshay Subramaniam,,0,0,1,1,3,0.5,0.517544,0,0
laveesh,laveesh,,0,1,1,2,3,0.5,0.518519,0,0.233434
srikanth,srikanth,,0,1,1,2,3,0.5,0.518519,0,0.233434
Rohith,Rohith,,0,2,2,4,2,0.529412,0.555556,0,0.334152
Shruti,Shruti,,0,1,2,3,2,0.529412,0.555556,0,0.233434
Manasa,Manasa,,0,1,1,2,3,0.5,0.518519,0,0.233434
Anand,Anand,,0,1,1,2,3,0.5,0.518519,0,0.233434
Guru,Guru,,0,1,1,2,3,0.5,0.518519,0,0.233434
saloni shah,saloni shah,,0,0,1,1,3,0.5,0.517544,0,0
Naitik Seth,Naitik Seth,,0,1,1,2,3,0.5,0.518519,0,0.233434
Kshama,Kshama,,0,1,1,2,3,0.5,0.518519,0,0.233434
Yihan,Yihan,,1,5,3,8,2,0.545455,0.583333,41,0.441316
Abdul Kalyaniwala,Abdul Kalyaniwala,,0,0,1,1,3,0.5,0.517544,0,0
Ze,Ze,,0,1,1,2,3,0.5,0.518519,0,0.233434
Thara,Thara,,1,1,2,3,2,0.529412,0.555556,0,0.233434
Mohamed,Mohamed,,0,1,1,2,3,0.5,0.518519,0,0.233434
Rangaraj,Rangaraj,,0,1,1,2,3,0.5,0.518519,0,0.233434
Naitik,Naitik,,0,1,1,2,3,0.5,0.518519,0,0.233434
Travis,Travis,,0,1,1,2,3,0.5,0.518519,0,0.233434
Manan,Manan,,1,1,1,2,3,0.36,0.388889,0,0.100718
Aloma,Aloma,,0,0,1,1,3,0.5,0.517544,0,0
Partho,Partho,,0,0,1,1,3,0.5,0.517544,0,0
saloni,saloni,,0,1,1,2,3,0.5,0.518519,0,0.233434
