year,player,victory,winner,error,total,ace,break,return
2009,Rafael Nadal,1,50,41,173,4,44,40
2009,Roger Federer,0,71,64,174,11,32,41
2010,Roger Federer,1,46,42,116,11,33,37
2010,Andy Murray,0,29,36,100,10,25,32
2011,Novak Djokovic,1,26,33,106,6,39,51
2011,Andy Murray,0,21,47,78,6,75,33
2012,Novak Djokovic,1,57,69,193,9,35,41
2012,Rafael Nadal,0,44,71,176,10,67,34
2013,Novak Djokovic,1,47,61,139,8,27,33
2013,Andy Murray,0,29,46,126,7,0,28
2005,Marat Safin,1,54,36,122,8,28,45
2005,Lleyton Hewitt,0,33,22,113,3,67,32
2006,Roger Federer,1,50,48,142,11,67,46
2006,Marcos Baghdatis,0,34,48,116,6,30,38
2007,Roger Federer,1,45,19,120,5,30,40
2007,Fernando Gonzalez,0,31,28,93,6,100,20
2008,Novak Djokovic,1,46,35,136,11,33,36
2008,Jo-Wilfried Tsonga,0,44,41,122,15,40,29
2014,Stanislas Wawrinka,1,53,49,116,8,29,40
2014,Rafael Nadal,0,19,32,88,10,50,27
